time,position
37.09514305900001,-1688
37.11451805899998,-1688
37.133083631999966,-1689
37.15317259,-1689
37.17184097500001,-1689
37.190422173,-1689
37.210562849999974,-1689
37.22917534999999,-1689
37.24868352699997,-1689
37.267301756999984,-1689
37.285917953999956,-1689
37.30609352699997,-1689
37.326215246000004,-1690
37.344947746,-1690
37.363634047999994,-1692
37.382152641999994,-1694
37.40074665199995,-1697
37.419409309,-1700
37.437993371000005,-1703
37.456588058999955,-1708
37.47687285000001,-1714
37.497027538,-1721
37.51714962099999,-1732
37.53577326699997,-1744
37.55437529799997,-1758
37.574628475,-1773
37.593222380999975,-1794
37.611718370999995,-1815
37.630413318999956,-1841
37.648993319,-1868
37.669138110999995,-1899
37.68786722499999,-1936
37.70647144399999,-1974
37.72507029799999,-2019
37.74444534999998,-2064
37.763009307999994,-2110
37.783131131000005,-2156
37.801732329000004,-2204
37.82187352699998,-2245
37.84205795399998,-2286
37.86067055799998,-2320
37.87927800599999,-2346
37.89873196499997,-2365
37.91732717299999,-2378
37.93591738099997,-2385
37.954521599999964,-2386
37.974685298,-2386
37.994839517,-2386
38.013504307999995,-2386
38.033650663,-2386
38.05219404799999,-2386
38.07079034999998,-2386
38.090947277,-2386
38.11031816299999,-2386
38.12900732899999,-2386
38.148428631,-2386
38.167092276999995,-2386
38.18482644399995,-2386
38.203404568999986,-2386
38.22282566199999,-2386
38.241334725,-2387
38.261453734999975,-2387
38.28006092300001,-2387
38.298654204,-2388
38.31820889199997,-2389
38.33696685999996,-2391
38.35633191199997,-2395
38.374960870999985,-2400
38.39512045399999,-2407
38.413750661999984,-2418
38.433899048,-2431
38.45411863099997,-2449
38.474417485000004,-2468
38.49200269400001,-2488
38.51063920399997,-2506
38.52923883899996,-2524
38.548693526999955,-2540
38.567334932999984,-2554
38.585938890999955,-2564
38.60613529799997,-2571
38.626262381000004,-2575
38.64490988099999,-2575
38.665055765999966,-2575
38.683713006000005,-2575
38.70229097499998,-2575
38.722727015999965,-2575
38.741253161999964,-2575
38.76137284999999,-2575
38.780045505999965,-2575
38.797758891,-2575
38.81635988099998,-2575
38.83668060999997,-2575
38.855280609999966,-2575
38.875452016,-2575
38.89413659999997,-2575
38.91357201599999,-2575
38.932096495999986,-2575
38.95072935999997,-2575
38.969316807999974,-2575
38.98797545399998,-2575
39.00663852700001,-2575
39.02681686,-2575
39.04628909999997,-2575
39.06492576599999,-2575
39.08500336999998,-2575
39.103762485000004,-2575
39.122296027000004,-2574
39.140883161999966,-2574
39.159551964,-2574
39.17898071399998,-2574
39.19755305799998,-2574
39.21704717299997,-2574
39.23722081799997,-2574
39.25745436,-2574
39.276164204,-2574
39.29560180799996,-2574
39.314252329,-2574
39.33367305799999,-2574
39.35392545399998,-2574
39.37256019299997,-2574
39.39110784999997,-2574
39.409702068,-2574
39.42835092199999,-2573
39.446949985,-2573
39.46554019299998,-2573
39.484219776999964,-2573
39.502786234999974,-2573
39.522899723999956,-2573
39.54151222399997,-2573
39.560088890999964,-2573
39.57951383899996,-2573
39.59811342199998,-2572
39.61678430799998,-2572
39.63578587000001,-2572
39.65585680799995,-2572
39.67527003699996,-2572
39.693934671999955,-2572
39.71497467199998,-2572
39.73368962000001,-2572
39.75227258899997,-2572
39.770836025999984,-2571
39.790977432999966,-2571
39.809678942999994,-2571
39.829095349,-2571
39.84771816199998,-2571
39.867936391,-2571
39.88653665099997,-2571
39.90514909899997,-2571
39.923799359999975,-2571
39.943935452999995,-2571
39.96614076599997,-2571
39.98475946399998,-2571
40.004867796999974,-2571
40.02358462000001,-2571
40.04369607799998,-2571
40.063796077999996,-2571
40.08241081799997,-2571
40.10249477599996,-2571
40.12109081799997,-2571
40.139668422,-2571
40.15824873499997,-2571
40.17835029700001,-2571
40.198561807999965,-2571
40.218725921999976,-2571
40.238200921999976,-2571
40.256835869999975,-2571
40.27544680799997,-2571
